CA,Strategic Economic and Community Development," $113,600 "
DE,Strategic Economic and Community Development," $113,600 "
NE,Housing Preservation Grants," $370,733 "
NY,Farm Ownership Loans," $546,754 "
CA,Emergency Farm Loans," $1,000,000 "
CO,Guaranteed Farm Loans," $61,000 "
ME,Microloans Program," $10,000 "
CA,Youth Loans," $226,944 "
DE,Guaranteed Farm Loans," $450,000 "
IN,Farmers Market Promotion Program," $85,010 "
HI,Rural Microentrepreneur Assistance Program," $141,111 "
MN,Rural Energy Savings Program," $541,056 "
NC,Community Connect Grants," $1,771,035 "
CO,Community Facilities Loan Guarantees," $4,000,000 "
LA,Solid Waste Management Grants," $3,500 "
MS,Community Facilities Technical Assistance and Training Grant," $447,000 "
NM,Rural Microentrepreneur Assistance Program," $276,250 "
CO,Strategic Economic and Community Development," $113,600 "
PA,Intermediary Relending Program," $1,558,550 "
WY,Farmers Market Promotion Program," $99,965 "
SD,Emergency Community Water Assistance Grants," $1,080,822 "
VA,Housing Preservation Grants," $3,803,461 "
KY,Rural Microentrepreneur Assistance Program," $437,667 "
CA,Guaranteed Farm Loans," $551,919 "
NH,Microloans Program," $10,000 "
DE,Youth Loans," $198,500 "
SD,Rural Cooperative Development Grants," $1,131,250 "
IN,Community Facilities Technical Assistance and Training Grant," $447,000 "
MA,Rural Energy Savings Program," $541,056 "
AK,High Energy Cost Grants," $1,346,823 "
VA,Farm Ownership Loans," $3,361,667 "
ID,Rural Energy Savings Program," $16,750 "
UT,Rural Business Development Grants," $96,261 "
DE,Intermediary Relending Program," $604,053 "
LA,Economic Impact Initiative Grants," $150,000 "
ND,Economic Impact Initiative Grants," $150,000 "
CA,Intermediary Relending Program," $908,376 "
HI,Circuit Rider Program," $300,000 "
NM,Circuit Rider Program," $5,860,000 "
NE,Farm Ownership Loans," $1,333,486 "
AR,Rural Energy Savings Program," $488,625 "
NY,Housing Preservation Grants," $33,396 "
MO,Farm Ownership Loans," $4,817,500 "
PA,Emergency Farm Loans," $1,000,000 "
SD,Repowering Assistance Program," $1,000,000 "
RI,Farm Ownership Loans," $3,361,667 "
CO,Intermediary Relending Program," $714,784 "
PA,Strategic Economic and Community Development," $113,600 "
SD,Rural Microentrepreneur Assistance Program," $827,447 "
OR,Housing Preservation Grants," $3,803,461 "
AL,Rural Energy Savings Program," $16,750 "
CT,Farm Ownership Loans," $1,522,610 "
LA,Rural Business Investment Program," $96,261 "
ND,Rural Business Investment Program," $96,261 "
MT,Guaranteed Farm Loans," $450,000 "
CA,Single Family Housing Repair Loans & Grants," $10,833 "
VA,Value Added Producer Grants," $202,157 "
AL,Farmers Market Promotion Program," $155,625 "
PA,Rural Business Development Grants," $113,600 "
AR,Farmers Market Promotion Program," $155,625 "
MS,Multi-Family Housing Direct Loans," $2,656,849 "
SD,Economic Impact Initiative Grants," $150,000 "
AZ,Housing Preservation Grants," $33,396 "
DE,Single Family Housing Repair Loans & Grants," $10,833 "
IA,Farm Ownership Loans," $1,522,610 "
WA,Community Facilities Technical Assistance and Training Grant," $447,000 "
MI,Rural Energy Savings Program," $690,857 "
CO,Single Family Housing Repair Loans & Grants," $10,000 "
NE,Value Added Producer Grants," $321,395 "
OH,Intermediary Relending Program," $1,760,317 "
LA,Repowering Assistance Program," $1,500,000 "
CT,Microloans Program," $10,000 "
MO,Value Added Producer Grants," $707,691 "
SC,Housing Preservation Grants," $138,747 "
CA,Rural Community Development Initiative Grants," $228,552 "
GA,Farm Ownership Loans," $4,817,500 "
NE,Microloans Program," $10,000 "
KY,Specialty Crop Block Grant Program," $1,750 "
CT,Value Added Producer Grants," $150,000 "
LA,Rural Microentrepreneur Assistance Program," $827,447 "
ND,Rural Microentrepreneur Assistance Program," $509,091 "
NC,Farm Ownership Loans," $4,817,500 "
SD,Rural Business Investment Program," $96,261 "
ME,Housing Preservation Grants," $110,310 "
MD,Rural Microentrepreneur Assistance Program," $1,144,093 "
CT,Community Facilities Technical Assistance and Training Grant," $447,000 "
UT,Rural Microentrepreneur Assistance Program," $754,848 "
NH,Rural Energy Savings Program," $690,857 "
LA,Emergency Farm Loans," $1,000,000 "
ND,Emergency Farm Loans," $1,000,000 "
HI,Single Family Housing Repair Loans & Grants," $7,500 "
NM,Single Family Housing Repair Loans & Grants," $7,500 "
MD,Emergency Farm Loans," $1,000,000 "
RI,Community Facilities Technical Assistance and Training Grant," $447,000 "
WA,Value Added Producer Grants," $180,014 "
CO,Solid Waste Management Grants," $3,500 "
CA,Household Water Well System Grants," $990,000 "
MO,Community Facilities Technical Assistance and Training Grant," $447,000 "
ND,Community Facilities Loan Guarantees," $4,000,000 "
LA,Community Facilities Loan Guarantees," $4,000,000 "
LA,Strategic Economic and Community Development," $113,600 "
NE,Community Facilities Technical Assistance and Training Grant," $447,000 "
MS,Housing Preservation Grants," $33,396 "
WV,Emergency Community Water Assistance Grants," $1,471,778 "
DE,Solid Waste Management Grants," $3,500 "
ME,Rural Energy Savings Program," $606,594 "
CA,Specialty Crop Block Grant Program," $124,850 "
NV,Single Family Housing Repair Loans & Grants," $7,500 "
OH,Circuit Rider Program," $300,000 "
ND,Guaranteed Farm Loans," $450,000 "
LA,Guaranteed Farm Loans," $824,833 "
TN,Farm Ownership Loans," $4,817,500 "
NJ,Circuit Rider Program," $166,667 "
LA,Youth Loans," $226,944 "
ND,Youth Loans," $135,000 "
SC,Rural Energy Savings Program," $126,000 "
CA,Solid Waste Management Grants," $3,500 "
VT,Microloans Program," $10,000 "
SD,Rural Business Development Grants," $437,739 "
IN,Farm Ownership Loans," $1,333,486 "
HI,Rural Community Development Initiative Grants," $228,552 "
KY,Intermediary Relending Program," $931,021 "
MN,Farm Ownership Loans," $3,361,667 "
PA,Repowering Assistance Program," $1,000,000 "
NJ,Specialty Crop Block Grant Program," $1,750 "
UT,Rural Business Investment Program," $96,261 "
CO,Rural Cooperative Development Grants," $506,945 "
NC,Community Facilities Technical Assistance and Training Grant," $447,000 "
GA,Community Facilities Technical Assistance and Training Grant," $447,000 "
OK,Rural Energy Savings Program," $690,857 "
DE,Circuit Rider Program," $166,667 "
KS,Rural Energy Savings Program," $690,857 "
CA,Circuit Rider Program," $751,367 "
WV,Household Water Well System Grants," $990,000 "
SD,Strategic Economic and Community Development," $113,600 "
MA,Housing Preservation Grants," $3,803,461 "
OH,Specialty Crop Block Grant Program," $1,750 "
SD,Community Facilities Loan Guarantees," $4,000,000 "
WA,Farm Ownership Loans," $772,544 "
AL,Housing Preservation Grants," $138,747 "
IA,Community Facilities Technical Assistance and Training Grant," $447,000 "
CA,Emergency Community Water Assistance Grants," $1,122,550 "
CA,Rural Cooperative Development Grants," $461,310 "
LA,Energy Resource Conservation," $65,000 "
SD,Guaranteed Farm Loans," $421,154 "
IN,Microloans Program," $10,000 "
CO,Circuit Rider Program," $1,125,000 "
IL,Housing Preservation Grants," $138,747 "
SD,Youth Loans," $262,500 "
DE,Rural Cooperative Development Grants," $189,394 "
IN,Value Added Producer Grants," $360,199 "
AR,Housing Preservation Grants," $33,396 "
LA,Rural Business Development Grants," $389,995 "
ND,Rural Business Development Grants," $96,261 "
NY,Rural Energy Savings Program," $331,333 "
IN,Economic Impact Initiative Grants," $150,000 "
ME,Rural Community Development Initiative Grants," $228,552 "
AK,Community Facilities Technical Assistance and Training Grant," $447,000 "
PA,Farm Ownership Loans," $1,396,421 "
WA,Rural Microentrepreneur Assistance Program," $50,000 "
AL,Rural Cooperative Development Grants," $506,945 "
MA,Circuit Rider Program," $166,667 "
RI,Emergency Farm Loans," $1,000,000 "
WI,Rural Business Investment Program," $96,261 "
KY,Rural Energy Savings Program," $16,750 "
IA,Rural Business Development Grants," $1,307,328 "
KS,Intermediary Relending Program," $314,000 "
CT,Strategic Economic and Community Development," $113,600 "
ID,Circuit Rider Program," $4,100 "
CA,Housing Preservation Grants," $370,733 "
NE,Strategic Economic and Community Development," $113,600 "
LA,Community Facilities Technical Assistance and Training Grant," $447,000 "
DE,Housing Preservation Grants," $138,747 "
MI,Specialty Crop Block Grant Program," $1,750 "
CT,Emergency Farm Loans," $1,000,000 "
IL,Rural Cooperative Development Grants," $192,593 "
NE,Community Facilities Loan Guarantees," $4,000,000 "
IL,Emergency Community Water Assistance Grants," $1,080,822 "
RI,Community Facilities Loan Guarantees," $4,000,000 "
WA,Repowering Assistance Program," $1,500,000 "
RI,Strategic Economic and Community Development," $113,600 "
AR,Rural Cooperative Development Grants," $573,334 "
NC,Rural Business Development Grants," $103,197 "
NE,Guaranteed Farm Loans," $564,087 "
CT,Youth Loans," $135,000 "
MO,Guaranteed Farm Loans," $416,667 "
AR,Circuit Rider Program," $1,125,000 "
GA,Rural Business Development Grants," $96,261 "
OR,Intermediary Relending Program," $1,833,469 "
FL,Farm Ownership Loans," $1,522,610 "
IL,Circuit Rider Program," $140,000 "
CO,Housing Preservation Grants," $662,277 "
IN,Rural Business Investment Program," $96,261 "
VA,Emergency Farm Loans," $1,000,000 "
NY,Intermediary Relending Program," $1,122,234 "
AL,Circuit Rider Program," $1,125,000 "
NE,Youth Loans," $226,944 "
MA,Rural Cooperative Development Grants," $190,834 "
NC,Community Facilities Loan Guarantees," $4,000,000 "
NH,Intermediary Relending Program," $146,845 "
MT,Farm Ownership Loans," $4,817,500 "
AZ,Intermediary Relending Program," $739,230 "
NC,Strategic Economic and Community Development," $113,600 "
AL,Specialty Crop Block Grant Program," $138,528 "
WV,Housing Preservation Grants," $3,803,461 "
WA,Rural Business Investment Program," $96,261 "
AR,Specialty Crop Block Grant Program," $118,929 "
VA,Rural Business Development Grants," $96,261 "
SD,Community Facilities Technical Assistance and Training Grant," $447,000 "
AL,Solid Waste Management Grants," $3,500 "
UT,Farm Ownership Loans," $4,817,500 "
IA,Guaranteed Farm Loans," $440,678 "
WA,Economic Impact Initiative Grants," $150,000 "
ME,Intermediary Relending Program," $1,636,978 "
CA,Community Connect Grants," $1,771,035 "
WA,High Energy Cost Grants," $1,346,823 "
MI,Circuit Rider Program," $100,000 "
IN,Rural Microentrepreneur Assistance Program," $739,256 "
NE,Energy Resource Conservation," $65,000 "
CT,Rural Business Development Grants," $81,624 "
TX,Farm Ownership Loans," $4,817,500 "
MO,Rural Business Development Grants," $96,261 "
IA,Emergency Farm Loans," $1,000,000 "
NE,Rural Business Development Grants," $389,995 "
NC,Guaranteed Farm Loans," $450,000 "
RI,Rural Business Development Grants," $100,596 "
IN,Repowering Assistance Program," $1,500,000 "
MS,Circuit Rider Program," $166,667 "
CT,Energy Resource Conservation," $65,000 "
OR,Single Family Housing Repair Loans & Grants," $7,500 "
CO,Farmers Market Promotion Program," $1,678,038 "
CT,High Energy Cost Grants," $2,512,500 "
CT,Economic Impact Initiative Grants," $150,000 "
OH,Multi-Family Housing Direct Loans," $2,774,113 "
IA,Rural Microentrepreneur Assistance Program," $235,556 "
IN,Community Facilities Loan Guarantees," $4,000,000 "
WA,Rural Business Development Grants," $426,449 "
NY,Specialty Crop Block Grant Program," $1,750 "
IN,Strategic Economic and Community Development," $113,600 "
MA,Single Family Housing Repair Loans & Grants," $8,750 "
WI,Guaranteed Farm Loans," $450,000 "
IN,Emergency Farm Loans," $1,000,000 "
VA,Rural Business Investment Program," $96,261 "
ME,Rural Cooperative Development Grants," $506,945 "
OR,Specialty Crop Block Grant Program," $1,750 "
NE,Economic Impact Initiative Grants," $150,000 "
SD,Value Added Producer Grants," $321,395 "
IN,Youth Loans," $226,944 "
KS,Solid Waste Management Grants," $3,500 "
ME,Circuit Rider Program," $751,367 "
CA,Farmers Market Promotion Program," $1,451,340 "
MI,Intermediary Relending Program," $868,206 "
AL,Single Family Housing Repair Loans & Grants," $10,833 "
CT,Rural Business Investment Program," $96,261 "
LA,Farm Ownership Loans," $1,333,486 "
ND,Farm Ownership Loans," $995,427 "
SC,Circuit Rider Program," $300,000 "
NE,Rural Business Investment Program," $96,261 "
KY,Community Connect Grants," $1,771,035 "
NC,Repowering Assistance Program," $1,000,000 "
AR,Single Family Housing Repair Loans & Grants," $7,500 "
NJ,Rural Energy Savings Program," $690,857 "
MO,Rural Business Investment Program," $96,261 "
NH,Rural Cooperative Development Grants," $175,000 "
MS,Intermediary Relending Program," $1,402,558 "
SD,Microloans Program," $10,000 "
IN,Guaranteed Farm Loans," $637,417 "
VT,Rural Business Development Grants," $585,193 "
RI,Rural Business Investment Program," $96,261 "
AK,Farm Ownership Loans," $815,721 "
PA,Community Facilities Technical Assistance and Training Grant," $447,000 "
MN,Guaranteed Farm Loans," $450,000 "
WA,Youth Loans," $242,692 "
NY,Rural Cooperative Development Grants," $2,100,000 "
WI,Rural Business Development Grants," $96,261 "
HI,Housing Preservation Grants," $25,000 "
MA,Intermediary Relending Program," $2,329,511 "
ME,Solid Waste Management Grants," $3,500 "
DE,Rural Energy Savings Program," $16,750 "
NC,Economic Impact Initiative Grants," $150,000 "
IA,Rural Business Investment Program," $96,261 "
NY,Emergency Community Water Assistance Grants," $1,080,822 "
OR,Rural Cooperative Development Grants," $175,000 "
CA,Rural Energy Savings Program," $353,804 "
MN,Youth Loans," $262,500 "
WA,Guaranteed Farm Loans," $585,528 "
MS,Advanced Biofuel Payment Program," $2,774,113 "
GA,Rural Business Investment Program," $96,261 "
AR,Intermediary Relending Program," $1,284,748 "
NC,Rural Business Investment Program," $96,261 "
NE,Repowering Assistance Program," $1,000,000 "
LA,Value Added Producer Grants," $286,488 "
CT,Rural Microentrepreneur Assistance Program," $141,111 "
SD,Farm Ownership Loans," $1,522,610 "
OR,Circuit Rider Program," $166,667 "
IN,Rural Business Development Grants," $389,995 "
RI,Repowering Assistance Program," $1,000,000 "
WA,Community Facilities Loan Guarantees," $4,000,000 "
MS,Single Family Housing Repair Loans & Grants," $7,500 "
WA,Strategic Economic and Community Development," $113,600 "
IL,Intermediary Relending Program," $819,670 "
MI,Single Family Housing Repair Loans & Grants," $8,750 "
RI,Rural Microentrepreneur Assistance Program," $33,000 "
CO,Rural Energy Savings Program," $488,625 "
WA,Emergency Farm Loans," $1,000,000 "
CT,Repowering Assistance Program," $1,666,667 "
IN,Energy Resource Conservation," $65,000 "
TN,Rural Business Development Grants," $1,195,700 "
NE,Rural Microentrepreneur Assistance Program," $827,447 "
NY,Circuit Rider Program," $4,000,000 "
LA,Microloans Program," $10,000 "
AL,Intermediary Relending Program," $788,303 "
