State,Data Item,Value,CV (%)
ALABAMA,"AG LAND, ORGANIC - NUMBER OF OPERATIONS",28,15.6
ALABAMA,"AG LAND, ORGANIC - NUMBER OF OPERATIONS",15,18.7
ALABAMA,"AG LAND, ORGANIC - NUMBER OF OPERATIONS",13,22.4
ALABAMA,"AG LAND, ORGANIC, CROP INSURANCE - NUMBER OF OPERATIONS",7,15.6
ALABAMA,"AG LAND, ORGANIC, CROP INSURANCE - NUMBER OF OPERATIONS",7,18.8
ALABAMA,"AG LAND, ORGANIC, CROP INSURANCE - NUMBER OF OPERATIONS",2,18.7
ALABAMA,"AG LAND, ORGANIC, CROP INSURANCE - NUMBER OF OPERATIONS",5,6
ALABAMA,"AG LAND, ORGANIC, CROP INSURANCE - NUMBER OF OPERATIONS",2,6
ALABAMA,"AG LAND, ORGANIC, CROP INSURANCE - NUMBER OF OPERATIONS",5,9.5
ALABAMA,"AG LAND, ORGANIC, OWNED - ACRES",0,1.3
ALABAMA,"AG LAND, ORGANIC, OWNED - ACRES",0,1.6
ALABAMA,"AG LAND, ORGANIC, OWNED - ACRES",245,4.7
ALABAMA,"AG LAND, ORGANIC, OWNED - NUMBER OF OPERATIONS",28,5.5
ALABAMA,"AG LAND, ORGANIC, OWNED - NUMBER OF OPERATIONS",15,5.6
ALABAMA,"AG LAND, ORGANIC, OWNED - NUMBER OF OPERATIONS",13,41.5
ALABAMA,"AG LAND, ORGANIC, OWNED, TRANSITIONING - ACRES",60,5
ALABAMA,"AG LAND, ORGANIC, OWNED, TRANSITIONING - NUMBER OF OPERATIONS",5,18.3
ALABAMA,"AG LAND, ORGANIC, RENTED FROM OTHERS - ACRES",0,5.3
ALABAMA,"AG LAND, ORGANIC, RENTED FROM OTHERS - ACRES",0,9.9
ALABAMA,"AG LAND, ORGANIC, RENTED FROM OTHERS - NUMBER OF OPERATIONS",2,12.4
ALABAMA,"AG LAND, ORGANIC, RENTED FROM OTHERS - NUMBER OF OPERATIONS",2,4.9
ALABAMA,"AG LAND, ORGANIC, TRANSITIONING - ACRES",60,18.3
ALABAMA,"AG LAND, ORGANIC, TRANSITIONING - ACRES",0,5.9
ALABAMA,"AG LAND, ORGANIC, TRANSITIONING - ACRES",0,9.9
ALABAMA,"AG LAND, ORGANIC, TRANSITIONING - ACRES",0,12.4
ALABAMA,"AG LAND, ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS",5,50.9
ALABAMA,"AG LAND, ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS",3,(H)
ALABAMA,"AG LAND, ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS",2,(H)
ALABAMA,"AG LAND, ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS",6,5.4
ALABAMA,"AG LAND, OWNED, ACQUIRED, PURCHASED FROM NON-RELATIVE, DIRECT SALE OR BROKER - ACRES",4417817,5.4
ALABAMA,"AG LAND, OWNED, ACQUIRED, PURCHASED FROM NON-RELATIVE, DIRECT SALE OR BROKER - AREA, MEASURED IN COUNT",31637,9.7
ALABAMA,"AG LAND, OWNED, ACQUIRED, PURCHASED FROM RELATIVE, DIRECT SALE OR BROKER - ACRES",950171,1.3
ALABAMA,"AG LAND, OWNED, ACQUIRED, PURCHASED FROM RELATIVE, DIRECT SALE OR BROKER - AREA, MEASURED IN COUNT",12810,1.7
ALABAMA,"AG LAND, OWNED, ACQUIRED, PURCHASED IN AUCTION - ACRES",175299,5.1
ALABAMA,"AG LAND, OWNED, ACQUIRED, PURCHASED IN AUCTION - AREA, MEASURED IN COUNT",1784,18.4
ALABAMA,"AG LAND, OWNED, ACQUIRED, VIA INHERITANCE & GIFT - ACRES",3356714,7.4
ALABAMA,"AG LAND, OWNED, ACQUIRED, VIA INHERITANCE & GIFT - AREA, MEASURED IN COUNT",32185,8.7
ALABAMA,"AG LAND, OWNED, ANTICIPATE DISPOSAL, VIA WILL - ACRES",548977,8.7
ALABAMA,"AG LAND, OWNED, ANTICIPATE DISPOSAL, VIA WILL - AREA, MEASURED IN COUNT",4599,35.3
ALABAMA,"AG LAND, OWNED, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE & GIFT & TRUST - ACRES",659049,1.3
ALABAMA,"AG LAND, OWNED, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE & GIFT & TRUST - AREA, MEASURED IN COUNT",4042,1.4
ALABAMA,"AG LAND, OWNED, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE TO NON-RELATIVE - ACRES",335731,11
ALABAMA,"AG LAND, OWNED, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE TO NON-RELATIVE - AREA, MEASURED IN COUNT",2296,22.1
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - ACRES",2421000,7.8
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - ACRES",2270797,34.7
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - ACRES",1882488,35.1
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - ACRES",374511,45.7
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - ACRES",371543,7.2
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - ACRES",610632,8.3
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - ACRES",250039,44.8
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - ACRES",1833236,66.9
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - ACRES",1481086,36.2
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - ACRES",245312,17.6
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - ACRES",281894,17.7
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - ACRES",432441,65.2
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - ACRES",363101,79.4
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - ACRES",210207,5.3
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - ACRES",500970,5.6
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - ACRES",93874,19.8
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - ACRES",538512,6.3
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - ACRES",437561,8.7
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",29936,14
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",28862,7.6
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",25847,2.1
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",17092,7
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",2713,3.9
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",1854,6.9
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",3898,18.2
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",24987,10.2
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",23611,4.3
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",1969,36.8
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",478,16.6
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",5720,7.6
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",4462,3.8
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",7924,12.8
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",1826,8.2
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",5438,19
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",4089,10.5
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",3875,10.4
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, PURCHASED FROM NON-RELATIVE, DIRECT SALE OR BROKER - ACRES",780713,5.2
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, PURCHASED FROM NON-RELATIVE, DIRECT SALE OR BROKER - ACRES",559817,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, PURCHASED FROM NON-RELATIVE, DIRECT SALE OR BROKER - ACRES",220895,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, PURCHASED FROM NON-RELATIVE, DIRECT SALE OR BROKER - AREA, MEASURED IN COUNT",9139,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, PURCHASED FROM NON-RELATIVE, DIRECT SALE OR BROKER - AREA, MEASURED IN COUNT",7278,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, PURCHASED FROM NON-RELATIVE, DIRECT SALE OR BROKER - AREA, MEASURED IN COUNT",1861,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, PURCHASED FROM RELATIVE, DIRECT SALE OR BROKER - ACRES",228519,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, PURCHASED FROM RELATIVE, DIRECT SALE OR BROKER - ACRES",159140,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, PURCHASED FROM RELATIVE, DIRECT SALE OR BROKER - AREA, MEASURED IN COUNT",4808,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, PURCHASED FROM RELATIVE, DIRECT SALE OR BROKER - AREA, MEASURED IN COUNT",3938,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, VIA INHERITANCE & GIFT - ACRES",1366301,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, VIA INHERITANCE & GIFT - ACRES",1119644,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, VIA INHERITANCE & GIFT - ACRES",246658,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, VIA INHERITANCE & GIFT - AREA, MEASURED IN COUNT",18531,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, VIA INHERITANCE & GIFT - AREA, MEASURED IN COUNT",16889,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, VIA INHERITANCE & GIFT - AREA, MEASURED IN COUNT",1641,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, VIA WILL - ACRES",181047,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, VIA WILL - ACRES",178379,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, VIA WILL - AREA, MEASURED IN COUNT",2720,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, VIA WILL - AREA, MEASURED IN COUNT",2685,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE & GIFT & TRUST - ACRES",378555,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE & GIFT & TRUST - ACRES",314207,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE & GIFT & TRUST - ACRES",366210,
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE & GIFT & TRUST - ACRES",315975,6.6
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE & GIFT & TRUST - AREA, MEASURED IN COUNT",2250,8.2
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE & GIFT & TRUST - AREA, MEASURED IN COUNT",2128,18.2
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE & GIFT & TRUST - AREA, MEASURED IN COUNT",2142,26.1
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE & GIFT & TRUST - AREA, MEASURED IN COUNT",2048,28.4
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, FULLY PAID FOR - ACRES",2316210,5.1
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, FULLY PAID FOR - ACRES",1842421,30
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, FULLY PAID FOR - ACRES",473789,7.9
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, FULLY PAID FOR - AREA, MEASURED IN COUNT",29291,66.3
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, FULLY PAID FOR - AREA, MEASURED IN COUNT",25240,31.9
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, FULLY PAID FOR - AREA, MEASURED IN COUNT",4052,4.2
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, CORPORATION & TRUST - ACRES",469360,4.5
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, CORPORATION & TRUST - AREA, MEASURED IN COUNT",3241,4.9
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, INDIVIDUAL & PARTNERSHIP - ACRES",1323451,10.5
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, INDIVIDUAL & PARTNERSHIP - AREA, MEASURED IN COUNT",22285,32.5
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, INDIVIDUAL - ACRES",945858,6.1
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, INDIVIDUAL - AREA, MEASURED IN COUNT",16647,34.9
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, PARTNERSHIP - ACRES",377592,4.6
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, PARTNERSHIP - AREA, MEASURED IN COUNT",6155,6.9
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, TRUST - ACRES",169278,3.7
ALABAMA,"AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, TRUST - AREA, MEASURED IN COUNT",1916,82.7
ALABAMA,"AG LAND, OWNED, RIGHTS, LEASED - ACRES",442529,4.4
ALABAMA,"AG LAND, OWNED, RIGHTS, LEASED - AREA, MEASURED IN COUNT",1814,5.7
ALABAMA,"AG LAND, OWNED, RIGHTS, LEASED, (EXCL OIL & GAS) - ACRES",309693,4.7
ALABAMA,"AG LAND, OWNED, RIGHTS, LEASED, (EXCL OIL & GAS) - AREA, MEASURED IN COUNT",778,85.8
ALABAMA,"AG LAND, OWNED, RIGHTS, SOLD - ACRES",99342,2.6
ALABAMA,"AG LAND, OWNED, RIGHTS, SOLD - AREA, MEASURED IN COUNT",1595,2.9
ALABAMA,"AG LAND, OWNED, RIGHTS, SOLD, OIL & GAS - ACRES",73813,6.3
ALABAMA,"AG LAND, OWNED, RIGHTS, SOLD, OIL & GAS - AREA, MEASURED IN COUNT",1522,38
ALABAMA,"AG LAND, PASTURELAND, (EXCL RANGE), ORGANIC, TRANSITIONING - ACRES",0,16.3
ALABAMA,"AG LAND, PASTURELAND, (EXCL RANGE), ORGANIC, TRANSITIONING - ACRES",0,6.5
ALABAMA,"AG LAND, PASTURELAND, (EXCL RANGE), ORGANIC, TRANSITIONING - ACRES",0,8.3
ALABAMA,"AG LAND, PASTURELAND, (EXCL RANGE), ORGANIC, TRANSITIONING - ACRES",0,6.6
ALABAMA,"AG LAND, PASTURELAND, (EXCL RANGE), ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS",5,33.4
ALABAMA,"AG LAND, PASTURELAND, OWNED, RENTED TO OTHERS - ACRES",325161,39.7
ALABAMA,"AG LAND, PASTURELAND, OWNED, RENTED TO OTHERS - ACRES",256764,4.1
ALABAMA,"AG LAND, PASTURELAND, OWNED, RENTED TO OTHERS - ACRES",68397,5
ALABAMA,"AG LAND, PASTURELAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",5374,4.1
ALABAMA,"AG LAND, PASTURELAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",4471,14.8
ALABAMA,"AG LAND, PASTURELAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",903,3.7
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",2428815,4.2
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",432412,6.4
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",406695,10.5
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",837243,7.5
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",327392,29.1
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",1868467,6.6
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",383169,7.8
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",450705,11.2
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",491955,4.5
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",441381,4.5
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",242472,15.9
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",701172,26.3
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",101131,29
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",546327,5.9
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",57901,7.4
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",77353,8.3
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",387381,13
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",59513,5.7
ALABAMA,"AG LAND, RENTED TO OTHERS - ACRES",78280,6.3
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",29994,11.9
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",19066,53.8
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",2963,57
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",2568,31.5
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",4991,23.8
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",27128,25.5
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",2457,26.4
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",646,39.9
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",7012,29.6
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",5179,12
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",8864,26.6
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",2459,10
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",5834,8.6
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",4147,12
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",1974,9.3
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",1093,39.8
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",3518,12.7
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",1292,31.8
ALABAMA,"AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT",718,14.7
ALABAMA,"FARM OPERATIONS, ORGANIC - NUMBER OF OPERATIONS",28,32.6
ALABAMA,"FARM OPERATIONS, ORGANIC - NUMBER OF OPERATIONS",15,21.1
ALABAMA,"FARM OPERATIONS, ORGANIC - NUMBER OF OPERATIONS",13,16
ALABAMA,"FARM OPERATIONS, ORGANIC - OPERATIONS, MEASURED IN PCT BY YEARS",7,16.8
ALABAMA,"FARM OPERATIONS, ORGANIC - OPERATIONS, MEASURED IN PCT BY YEARS",53,9.6
ALABAMA,"FARM OPERATIONS, ORGANIC - OPERATIONS, MEASURED IN PCT BY YEARS",40,17.4
ALABAMA,"LANDLORDS - NUMBER OF PARTNERS, AVG",3,39.6
ALABAMA,"LANDLORDS - PARTNERS, AVG, MEASURED IN COUNT",6155,20.4
ALABAMA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, INCREASE - NUMBER OF OPERATIONS",20,11.5
ALABAMA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, INCREASE - NUMBER OF OPERATIONS",11,17.8
ALABAMA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, INCREASE - NUMBER OF OPERATIONS",9,10.7
ALABAMA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, INCREASE - OPERATIONS, MEASURED IN PCT BY PRACTICE",77,9.1
ALABAMA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, INCREASE - OPERATIONS, MEASURED IN PCT BY PRACTICE",85,13.3
ALABAMA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, INCREASE - OPERATIONS, MEASURED IN PCT BY PRACTICE",69,9.8
ALABAMA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, MAINTAIN CURRENT LEVEL - NUMBER OF OPERATIONS",4,45.4
ALABAMA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, MAINTAIN CURRENT LEVEL - NUMBER OF OPERATIONS",4,12.1
ALABAMA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, MAINTAIN CURRENT LEVEL - OPERATIONS, MEASURED IN PCT BY PRACTICE",15,37.2
ALABAMA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, MAINTAIN CURRENT LEVEL - OPERATIONS, MEASURED IN PCT BY PRACTICE",31,8.6
ALABAMA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, UNKNOWN - NUMBER OF OPERATIONS",2,22.4
ALABAMA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, UNKNOWN - NUMBER OF OPERATIONS",2,32.1
ALABAMA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, UNKNOWN - OPERATIONS, MEASURED IN PCT BY PRACTICE",8,29.2
ALABAMA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, UNKNOWN - OPERATIONS, MEASURED IN PCT BY PRACTICE",15,16.3
ALABAMA,"PRACTICES, ORGANIC, ADEQUATE PRODUCTION INPUTS AVAILABLE - NUMBER OF OPERATIONS",14,10.9
ALABAMA,"PRACTICES, ORGANIC, ADEQUATE PRODUCTION INPUTS AVAILABLE - NUMBER OF OPERATIONS",9,23.2
ALABAMA,"PRACTICES, ORGANIC, ADEQUATE PRODUCTION INPUTS AVAILABLE - NUMBER OF OPERATIONS",5,10.4
ALABAMA,"PRACTICES, ORGANIC, BENEFICIAL INSECT OR VERTEBRATE HABITAT MAINTAINED - NUMBER OF OPERATIONS",19,18.5
ALABAMA,"PRACTICES, ORGANIC, BENEFICIAL INSECT OR VERTEBRATE HABITAT MAINTAINED - NUMBER OF OPERATIONS",8,10.8
ALABAMA,"PRACTICES, ORGANIC, BENEFICIAL INSECT OR VERTEBRATE HABITAT MAINTAINED - NUMBER OF OPERATIONS",11,18
ALABAMA,"PRACTICES, ORGANIC, BENEFICIAL ORGANISMS APPLIED OR RELEASED - NUMBER OF OPERATIONS",4,44.6
ALABAMA,"PRACTICES, ORGANIC, BENEFICIAL ORGANISMS APPLIED OR RELEASED - NUMBER OF OPERATIONS",2,21.8
ALABAMA,"PRACTICES, ORGANIC, BENEFICIAL ORGANISMS APPLIED OR RELEASED - NUMBER OF OPERATIONS",2,36.7
ALABAMA,"PRACTICES, ORGANIC, BIOLOGICAL PEST MGMT - NUMBER OF OPERATIONS",17,55.5
ALABAMA,"PRACTICES, ORGANIC, BIOLOGICAL PEST MGMT - NUMBER OF OPERATIONS",11,20.4
ALABAMA,"PRACTICES, ORGANIC, BIOLOGICAL PEST MGMT - NUMBER OF OPERATIONS",6,19.7
ALABAMA,"PRACTICES, ORGANIC, BUFFER STRIPS OR BORDER ROWS MAINTAINED, TO ISOLATE ORGANIC FROM CONVENTIONAL CROPS - NUMBER OF OPERATIONS",22,15.4
ALABAMA,"PRACTICES, ORGANIC, BUFFER STRIPS OR BORDER ROWS MAINTAINED, TO ISOLATE ORGANIC FROM CONVENTIONAL CROPS - NUMBER OF OPERATIONS",14,28.1
ALABAMA,"PRACTICES, ORGANIC, BUFFER STRIPS OR BORDER ROWS MAINTAINED, TO ISOLATE ORGANIC FROM CONVENTIONAL CROPS - NUMBER OF OPERATIONS",8,36.7
ALABAMA,"PRACTICES, ORGANIC, CONSERVATION TILLAGE, NO-TILL OR MINIMUM TILL - NUMBER OF OPERATIONS",15,39.1
ALABAMA,"PRACTICES, ORGANIC, CONSERVATION TILLAGE, NO-TILL OR MINIMUM TILL - NUMBER OF OPERATIONS",6,51.9
