State,Total Federal Aid to States,Total Department of Agriculture Aid,Agricultural Marketing Service,Total National Institute of Food and Agriculture Aid,National Institute of Food and Agriculture Extension Activities,National Institute of Food and Agriculture Research and Education,Farm Service Agency,Food Safety and Inspection Service,Total Food and Nutrition Service Aid,Food and Nutrition Service Child Nutrition Programs,Food and Nutrition Service Commodity Assistance Programs,Supplemental Nutrition Assistance Programs,Special Supplemental Food Program,Total Forest Service Aid,Forest Service Payments to States and Counties,Rural Community and Emergency Fire Fighting Program,State and Private Forestry,National Forest Service,Other Forest Service Aid,Natural Resources Conservation Services,Total Rural Development Activities Aid,Community Facilities Grants,"Rural, Regional, and Cooperative Development Programs",Housing Preservation Grants,Water Systems and Waste Disposal Systems Grants,Other Rural Development Activities Aid,Appalachian Regional Commission 
North Carolina            ,-0.271422242,0.053361713,0.39540691,-0.508551227,-0.204564219,-0.7201886,2.09872809,5.932563119,0.085063721,0.459652495,-0.179693461,-1.142794468,0.219193212,-1.656296653,-2.204943711,-2.395693002,2.501260291,-2.734524689,-2.734524689,-0.294364096,0.051749792,0.710285676,0.642761043,3.944892701,-0.141083528,-0.021459887,1.746355465
North Dakota             ,-0.282025686,-0.358572932,-0.229582696,0.538640243,0.968994774,0.239025129,0.495027919,0.249687164,-0.413944357,-0.404734249,-0.164041454,-0.42503798,-0.43712452,-0.625489023,-0.626059145,-0.626286726,-0.621435183,-0.626286726,-0.626286726,-0.261580483,0.718088735,-0.129974281,0.746707428,0.079907183,0.844750943,0.647435434,-0.626286726
Ohio                    ,0.573746573,-0.159109049,0.563615371,-0.69137065,-0.597383866,-0.756804748,-1.579589232,4.307677005,-0.080302831,0.065953366,1.038417871,-0.282931106,-0.315776414,-3.03930309,-3.00791075,-3.087564099,-3.074950087,-3.087564099,-3.087564099,-2.725309662,-1.035483882,-1.549150134,-1.002416692,0.134445612,-1.154406088,-0.264695662,3.665800567
Oklahoma                ,0.246560015,0.593662967,1.341779719,0.598599842,1.05088174,0.283718779,3.971122308,2.738542093,0.454880664,0.581385155,0.406177155,0.084945279,0.45968952,-0.599291314,-0.755184518,-0.99319077,0.897660806,-1.026461065,-1.026461065,6.493230007,3.900719147,0.964973293,2.280853277,10.00781876,5.301901328,-0.3749595,-1.026461065
Oregon                  ,0.091695464,0.428319319,-0.067980916,0.241693278,0.065212806,0.364559922,-0.351559241,-1.153879202,0.093694703,-0.099287694,0.250573331,0.803437484,-0.043342968,15.01329268,26.4842397,-1.12761318,-1.11506686,-1.153879202,-0.393358668,-1.153879202,0.324261682,-0.597267114,0.766446709,0.773441675,0.352002418,0.451083922,-1.153879202
Pennsylvania             ,0.231968488,-0.643645308,-0.295987827,-0.874055836,-2.022164026,-0.074736808,-3.302083283,-3.94007265,-0.846490817,-0.972250949,0.844649097,-0.514252336,-0.883542806,7.828434051,-2.891151839,1.313131805,-3.94007265,87.72838729,6.470608438,-1.715671044,-1.453749012,-1.514171634,-1.783398935,-1.438969222,-1.317043329,-1.867529049,9.061956831
Rhode Island             ,0.118326131,-0.090544454,-0.088201802,0.35933979,0.586822733,0.200964955,-0.049134256,-0.348795928,-0.092008588,-0.08128937,0.041777167,-0.1833192,-0.044727168,-0.348795928,-0.348795928,-0.348795928,-0.348795928,-0.348795928,-0.348795928,-0.201074576,-0.206332457,-0.303957732,-0.219737588,1.858060038,-0.254970315,-0.040430721,-0.348795928
South Carolina            ,0.265317363,0.342200562,0.545035748,0.263624213,0.319301287,0.224861538,0.340895883,3.044518157,0.321766701,0.642586792,0.598184443,-0.629344842,0.3298419,0.376142014,-0.482583589,-0.265726851,6.0709839,-1.051080917,-1.051080917,-0.903359565,0.809774048,-0.174416879,1.548744932,-0.050639546,0.949039772,0.356235665,1.589914597
South Dakota             ,0.157730017,0.177210552,0.483515812,0.921064498,1.339006842,0.630090815,1.141645705,1.562965102,0.101864059,0.104182007,0.395946338,0.09201371,0.093280521,0.208208725,0.486422572,-0.182665557,-0.182665557,-0.182665557,-0.182665557,-0.182665557,1.524919272,0.400230991,1.467104315,0.376404621,0.402868558,7.570386069,-0.182665557
Tennessee               ,0.600337295,0.495425627,0.810235052,0.085957106,0.922098323,-0.496168858,0.151505692,-1.385468692,0.495744939,0.722541211,1.366259694,-0.156851149,0.458285959,-0.24754591,-1.06048303,-1.385468692,5.533801636,-1.385468692,-1.385468692,1.682967362,0.810788248,0.853348816,3.088035475,1.762979152,0.543212163,0.644068486,7.119658417
Texas                   ,0.929166735,2.906739768,3.41192477,0.083120481,1.012333924,-0.563802861,-0.288029502,4.290515232,3.297670247,5.69985287,-0.375879247,-2.268153627,2.225287807,-4.235047719,-5.178564671,-5.822360967,3.109329345,-5.908982066,-6.010600793,5.169637645,-3.503718133,-3.422354585,-2.614656024,-1.567464115,-3.759175403,-2.994660965,-6.010600793
Utah                    ,-0.063026723,0.029339912,0.208354691,0.322943396,-0.126256939,0.635679058,-0.576753631,2.549272952,-0.012527129,0.063418373,-0.184615386,-0.171380973,-0.059167916,1.207132588,2.539376356,-0.5895812,-0.685813218,-0.73141772,-0.73141772,-0.398584964,-0.31391145,0.301406932,0.145557028,0.725107217,-0.373829233,-0.73141772,-0.73141772
Vermont                 ,-0.00766249,-0.047745385,-0.124392358,0.79778382,0.302872733,1.142343551,1.504591137,1.144055313,-0.09476037,-0.175689258,-0.02683419,0.164438656,-0.118863836,-0.278731794,-0.240784939,-0.332044919,-0.332044919,-0.332044919,-0.332044919,-0.311204562,1.217261807,0.269405365,1.690905697,-0.332044919,1.450836384,0.497887552,-0.26261531
Virginia                  ,-0.551250656,-0.665297677,-0.318651768,-0.307335878,-0.075776823,-0.468548524,0.117803267,0.930369846,-0.729751003,-0.772185201,-1.683955439,-0.464236181,-0.817097806,-0.930730492,-1.748793976,-1.202440675,4.07200339,-2.240824089,-2.240824089,-1.001435815,0.8562079,2.10229634,-1.065304746,0.510389681,1.18926123,-0.294554668,2.055800564
Washington              ,-0.357091005,-0.548636311,-0.475620448,0.026123913,0.053126458,0.007324597,0.88905313,-2.252561176,-0.636671508,-0.623875314,-0.996284828,-1.022591059,-0.319297107,2.278921487,5.486103014,-2.252561176,-2.174936492,-2.252561176,-2.252561176,-2.252561176,-0.329765571,-1.108414107,-0.479952643,-1.17855794,-0.936277371,3.123241763,-2.252561176
West Virginia             ,0.159177491,0.022947641,0.035374937,0.660205202,0.807544302,0.557626937,-0.607316593,0.816140977,-0.055840986,0.003463638,0.165373892,-0.267802768,-0.02943883,-0.275073453,-0.070908185,-0.607316593,-0.607316593,-0.475810006,-0.336909292,0.503964783,2.463489466,0.702267958,1.274136324,-0.607316593,3.354576971,0.207975393,5.862988897
Wisconsin                ,-0.157437193,-0.420213746,0.084565598,1.157479411,1.302570349,1.056466328,2.47361163,6.060473447,-0.489871768,-0.430176804,-0.100611888,-0.658744836,-0.508410419,-1.403355972,-1.232500606,-1.840347712,-1.268005565,-1.8354636,-1.654177384,-1.256290224,0.182050286,1.111614942,1.876379499,-1.312625055,0.012521675,-0.475287126,-1.85698286
Wyoming                ,0.116765418,-0.07724932,-0.08009506,0.259727564,0.548211374,0.0588836,0.467884401,0.427251085,-0.107541329,-0.103382752,-0.110940595,-0.112680667,-0.113423864,0.393024116,0.855767555,-0.257103516,-0.257103516,-0.257103516,-0.257103516,0.03895214,0.19545852,0.001102647,-0.019200792,-0.257103516,0.33193446,-0.176580851,-0.257103516
