Program,Year,Period,Geo Level,State,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, COMBINED, AREA RENTED OUT","LANDLORDS, COMBINED, AREA RENTED OUT: (500 TO 999 ACRES)","5,038,192,000",5.2
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, COMBINED, TENANTS","LANDLORDS, COMBINED, TENANTS: (1 TENANTS)","19,806,734,000",3.4
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, COMBINED, TENANTS","LANDLORDS, COMBINED, TENANTS: (2 TENANTS)","6,143,704,000",4.2
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, COMBINED, TENANTS","LANDLORDS, COMBINED, TENANTS: (3 OR MORE TENANTS)","4,558,009,000",6
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, COMBINED, VALUE OF LAND & BUILDINGS","LANDLORDS, COMBINED, VALUE OF LAND & BUILDINGS: (1,000,000 OR MORE $)","16,236,246,000",2.1
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, COMBINED, VALUE OF LAND & BUILDINGS","LANDLORDS, COMBINED, VALUE OF LAND & BUILDINGS: (100,000 TO 199,999 $)","1,853,122,000",8
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, COMBINED, VALUE OF LAND & BUILDINGS","LANDLORDS, COMBINED, VALUE OF LAND & BUILDINGS: (200,000 TO 499,999 $)","5,152,815,000",5.2
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, COMBINED, VALUE OF LAND & BUILDINGS","LANDLORDS, COMBINED, VALUE OF LAND & BUILDINGS: (50,000 TO 99,999 $)","1,030,781,000",14.4
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, COMBINED, VALUE OF LAND & BUILDINGS","LANDLORDS, COMBINED, VALUE OF LAND & BUILDINGS: (500,000 TO 999,999 $)","5,678,035,000",5.8
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, COMBINED, VALUE OF LAND & BUILDINGS","LANDLORDS, COMBINED, VALUE OF LAND & BUILDINGS: (LESS THAN 50,000 $)","557,448,000",73.2
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING","LANDLORDS, NON-OPERATING: (TOTAL)","24,300,136,000",2.6
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, AREA RENTED OUT","LANDLORDS, NON-OPERATING, AREA RENTED OUT: (1,000 TO 9,999 ACRES)","3,188,593,000",5.6
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, AREA RENTED OUT","LANDLORDS, NON-OPERATING, AREA RENTED OUT: (1.0 TO 49.0 ACRES)","2,095,972,000",26.6
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, AREA RENTED OUT","LANDLORDS, NON-OPERATING, AREA RENTED OUT: (10,000 OR MORE ACRES)","315,802,000",22.5
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, AREA RENTED OUT","LANDLORDS, NON-OPERATING, AREA RENTED OUT: (100 TO 199 ACRES)","4,764,914,000",3.4
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, AREA RENTED OUT","LANDLORDS, NON-OPERATING, AREA RENTED OUT: (200 TO 499 ACRES)","7,442,099,000",3.8
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, AREA RENTED OUT","LANDLORDS, NON-OPERATING, AREA RENTED OUT: (50.0 TO 99.0 ACRES)","2,799,670,000",7
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, AREA RENTED OUT","LANDLORDS, NON-OPERATING, AREA RENTED OUT: (500 TO 999 ACRES)","3,693,086,000",5.1
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, AREA RENTED OUT","LANDLORDS, NON-OPERATING, AREA RENTED OUT: (ACRES FULLY PAID FOR)","21,789,175,000",3
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, AREA RENTED OUT","LANDLORDS, NON-OPERATING, AREA RENTED OUT: (ACRES NOT FULLY PAID FOR)","2,510,961,000",5.8
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, OWNERSHIP TYPE","LANDLORDS, NON-OPERATING, OWNERSHIP TYPE: (CORPORATION & TRUST)","7,407,980,000",3.1
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, OWNERSHIP TYPE","LANDLORDS, NON-OPERATING, OWNERSHIP TYPE: (INDIVIDUAL & PARTNERSHIP)","15,261,942,000",4.1
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, OWNERSHIP TYPE","LANDLORDS, NON-OPERATING, OWNERSHIP TYPE: (MULTIPLE TYPES)","681,014,000",11.5
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, OWNERSHIP TYPE","LANDLORDS, NON-OPERATING, OWNERSHIP TYPE: (OTHER)","949,200,000",12.1
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, TENANTS","LANDLORDS, NON-OPERATING, TENANTS: (1 TENANTS)","16,375,622,000",3.9
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, TENANTS","LANDLORDS, NON-OPERATING, TENANTS: (2 TENANTS)","4,721,433,000",4.2
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, TENANTS","LANDLORDS, NON-OPERATING, TENANTS: (3 OR MORE TENANTS)","3,203,081,000",5.1
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, VALUE OF LAND & BUILDINGS","LANDLORDS, NON-OPERATING, VALUE OF LAND & BUILDINGS: (1,000,000 OR MORE $)","12,179,977,000",2.3
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, VALUE OF LAND & BUILDINGS","LANDLORDS, NON-OPERATING, VALUE OF LAND & BUILDINGS: (100,000 TO 199,999 $)","1,559,690,000",9.4
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, VALUE OF LAND & BUILDINGS","LANDLORDS, NON-OPERATING, VALUE OF LAND & BUILDINGS: (200,000 TO 499,999 $)","4,398,034,000",5.9
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, VALUE OF LAND & BUILDINGS","LANDLORDS, NON-OPERATING, VALUE OF LAND & BUILDINGS: (50,000 TO 99,999 $)","935,501,000",15.8
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, VALUE OF LAND & BUILDINGS","LANDLORDS, NON-OPERATING, VALUE OF LAND & BUILDINGS: (500,000 TO 999,999 $)","4,735,394,000",6.7
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING, VALUE OF LAND & BUILDINGS","LANDLORDS, NON-OPERATING, VALUE OF LAND & BUILDINGS: (LESS THAN 50,000 $)","491,541,000",83
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, OPERATING","LANDLORDS, OPERATING: (TOTAL)","6,864,000,000",3.2
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, OPERATING, AREA RENTED OUT","LANDLORDS, OPERATING, AREA RENTED OUT: (1,000 TO 9,999 ACRES)","1,432,116,000",14
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, OPERATING, AREA RENTED OUT","LANDLORDS, OPERATING, AREA RENTED OUT: (1.0 TO 49.0 ACRES)","299,618,000",8
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, OPERATING, AREA RENTED OUT","LANDLORDS, OPERATING, AREA RENTED OUT: (100 TO 199 ACRES)","815,754,000",6.5
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, OPERATING, AREA RENTED OUT","LANDLORDS, OPERATING, AREA RENTED OUT: (200 TO 499 ACRES)","1,558,374,000",8.7
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, OPERATING, AREA RENTED OUT","LANDLORDS, OPERATING, AREA RENTED OUT: (50.0 TO 99.0 ACRES)","461,394,000",6.9
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, OPERATING, AREA RENTED OUT","LANDLORDS, OPERATING, AREA RENTED OUT: (500 TO 999 ACRES)","1,345,106,000",13.5
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, OPERATING, TENANTS","LANDLORDS, OPERATING, TENANTS: (1 TENANTS)","3,431,112,000",6.8
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, OPERATING, TENANTS","LANDLORDS, OPERATING, TENANTS: (2 TENANTS)","1,422,271,000",11.4
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, OPERATING, TENANTS","LANDLORDS, OPERATING, TENANTS: (3 OR MORE TENANTS)","1,354,928,000",16.1
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, OPERATING, VALUE OF LAND & BUILDINGS","LANDLORDS, OPERATING, VALUE OF LAND & BUILDINGS: (1,000,000 OR MORE $)","4,056,269,000",5
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, OPERATING, VALUE OF LAND & BUILDINGS","LANDLORDS, OPERATING, VALUE OF LAND & BUILDINGS: (100,000 TO 199,999 $)","293,432,000",8.7
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, OPERATING, VALUE OF LAND & BUILDINGS","LANDLORDS, OPERATING, VALUE OF LAND & BUILDINGS: (200,000 TO 499,999 $)","754,781,000",7.5
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, OPERATING, VALUE OF LAND & BUILDINGS","LANDLORDS, OPERATING, VALUE OF LAND & BUILDINGS: (50,000 TO 99,999 $)","95,280,000",13.8
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, OPERATING, VALUE OF LAND & BUILDINGS","LANDLORDS, OPERATING, VALUE OF LAND & BUILDINGS: (500,000 TO 999,999 $)","942,641,000",8.6
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, OPERATING, VALUE OF LAND & BUILDINGS","LANDLORDS, OPERATING, VALUE OF LAND & BUILDINGS: (LESS THAN 50,000 $)","65,908,000",16.5
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN COUNT","LANDLORDS, COMBINED","LANDLORDS, COMBINED: (TOTAL)","1,914,652",28
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN COUNT","LANDLORDS, COMBINED, AREA RENTED OUT","LANDLORDS, COMBINED, AREA RENTED OUT: (1,000 TO 9,999 ACRES)","43,157",6.6
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN COUNT","LANDLORDS, COMBINED, AREA RENTED OUT","LANDLORDS, COMBINED, AREA RENTED OUT: (1.0 TO 49.0 ACRES)","787,777",68.3
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN COUNT","LANDLORDS, COMBINED, AREA RENTED OUT","LANDLORDS, COMBINED, AREA RENTED OUT: (10,000 OR MORE ACRES)",705,29.2
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN COUNT","LANDLORDS, COMBINED, AREA RENTED OUT","LANDLORDS, COMBINED, AREA RENTED OUT: (100 TO 199 ACRES)","331,365",3.6
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN COUNT","LANDLORDS, COMBINED, AREA RENTED OUT","LANDLORDS, COMBINED, AREA RENTED OUT: (200 TO 499 ACRES)","259,868",4
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN COUNT","LANDLORDS, COMBINED, AREA RENTED OUT","LANDLORDS, COMBINED, AREA RENTED OUT: (50.0 TO 99.0 ACRES)","373,728",4.1
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN COUNT","LANDLORDS, COMBINED, AREA RENTED OUT","LANDLORDS, COMBINED, AREA RENTED OUT: (500 TO 999 ACRES)","96,436",8.6
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN COUNT","LANDLORDS, COMBINED, TENANTS","LANDLORDS, COMBINED, TENANTS: (1 TENANTS)","1,598,194",33.6
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN COUNT","LANDLORDS, COMBINED, TENANTS","LANDLORDS, COMBINED, TENANTS: (2 TENANTS)","225,631",4.2
